N° Brote ETA,Año estadistico,Semana estadistica,fecha de notificación,Fecha de Ingestión,Fecha Primeros Síntomas,Establecimiento de atención- Razón Social,Establecimiento de atención-Nombre Fantasía,Periodo de Incubación Días,Duración Brote Días,Region de notificación,Región de consumo,Región de notificación es la misma que la de consumo,Expuestos,Enfermos,Fallecidos,Tasa Ataque,Tasa Letalidad,mediana_enfermos,Total ambulatorios,Ambulatorios H <1,Ambulatorios M <1,Total_amb_menor 1,Ambulatorios H 1-4,Ambulatorios M 1-4,total_amb_1-4,Ambulatorios H 5-14,Ambulatorios M 5-14,total_amb_5-14,Ambulatorios H 15-44,Ambulatorios M 15-44,total_amb_15-44,Ambulatorios H 45-64,Ambulatorios M 45-64,total_ambu_45-64,Ambulatorios H 65>,Ambulatorios M 65>,total_amb_>65,total de Hospitalizados,Hospitalizados H <1,Hospitalizados M <1,total_hosp_menor 1,Hospitalizados H 1-4,Hospitalizados M 1-4,total_hosp_1-4,Hospitalizados H 5-14,Hospitalizados M 5-14,total_hosp_5-14,Hospitalizados H 15-44,Hospitalizados M 15-44,total_hosp_15-44,Hospitalizados H 45-64,Hospitalizados M 45-64,total_hosp_45-64,Hospitalizados H 65>,Hospitalizados M 65>,total Hosp>65,total de fallecidos,Fallecidos H <1,Fallecidos M <1,total_falle_menor 1,Fallecidos H 1-4,Fallecidos M 1-4,total_fall_1-4,Fallecidos H 5-14,Fallecidos M 5-14,total_falle_5-14,Fallecidos H 15-44,Fallecidos M 15-44,total_falle_15-44,Fallecidos H 45-64,Fallecidos M 45-64,total_falle_45-64,Fallecidos H 65>,Fallecidos M 65>,total_falle_>65,total sin atención,Sin Atención Médica H <1,Sin Atención Médica M <1,total S_medica menor 1,Sin Atención Médica H 1-4,Sin Atención Médica M 1-4,total S_medica menor 1-4,Sin Atención Médica H 5-14,Sin Atención Médica M 5-14,total S_medica menor 5-14,Sin Atención Médica H 15-44,Sin Atención Médica M 15-44,total S_medica menor 15-44,Sin Atención Médica H 45-64,Sin Atención Médica M 45-64,total S_medica menor 45-64,Sin Atención Médica H 65>,Sin Atención Médica M 65>,total S_medica mayor >65,Nauseas,Vomitos,Diarrea,Dolores Cólicos Abdominales,Heces Sanguinolentas,Parestesias,Hipoestesias,Paralisis,Espasmos Musculares,Otros Neurológicos,Fiebre,Deshidratación,Hipotensión,Rush Cutáneo,Cefalea,Mialgia,Meteorismo,Otros,Grupo Alimento Sospechoso,Alimento Sospechoso,local de elaboración,local consumo ,Fractor contribuyente de Contaminación,glosa_contaminación,Factor contribuyente de Supervivencia,glosa_supervivencia,Factor contribuyente de Proliferación,glosa proliferación,Proceso de pérdida de inocuidad,Lugar Perdida Inocuidad,Diagnostico especifico,código CIE-10,diagnostico agrupado,Tipo de Diagnostico,conclusión del brote,Contempla Inspección,Resultada actividad de inspección,clasificación del resultado de actividad inspección
RIO20170002,2017,1,03-01-2017,02-01-2017,02-01-2017,HOSPITAL DE LONCOCHE,HOSPITAL DE LONCOCHE,0,0,9,14,No,15,5,0,33.33,0.00,4,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PESCADOS Y PRODUCTOS DE LA PESCA,Pescados y Mariscos precocidos o cocidos congelados,LUGAR AUTOPREPARACION,LUGAR NO HABILITADO O SOLO EXPENDIO,-,no informado,-,no informado,P2,Inadecuada conservación en frío o en caliente,Almacenamiento,Domicilio,"Intoxicación alimentaria bacteriana, no especificada",A059,Gastroenteritis y colitis de origen no especificado,Diagnostico inespecifico,"Realizada, se confirma ",NO,,
ATA20170005,2017,45,11-01-2017,31-12-1899,31-12-1899,HOSPITAL DR MANUEL MAGALHAES MEDLING (HUASCO),,0,0,3,3,Si,5,3,0,60.00,0.00,3,3,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,PRODUCTOS DE PANADERIA Y PASTELERIA,Pan y Masa Horneadas sin relleno,LUGAR AUTOPREPARACION,HOGAR,C8,Sin definir,-,no informado,-,no informado,Manipulación doméstica,Domicilio,,,Sin determinar,Sin Información Diagnostica,"Realizada, se descarta ",NO,,
BIO20170242,2017,35,31-08-2017,31-12-1899,31-12-1899,SAPU-ULTRAESTACIÓN,SAPU-ULTRAESTACIÓN,0,0,8,8,Si,0,0,0,0.00,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,SIN INFORMACIÓN,SIN INFORMACIÓN,-,no informado,-,no informado,-,no informado,,NULL,,,Sin determinar,Sin Información Diagnostica,"Realizada, se descarta ",Si,Acta con observaciones,con hallazgos sobre requisito normativo
BIO20170298,2017,40,06-10-2017,31-12-1899,31-12-1899,CENTRO DE SALUD FAMILIAR COIHUECO,CENTRO DE SALUD FAMILIAR COIHUECO,0,0,8,8,Si,3,0,0,100.00,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BEBIDAS,Otra bebida,LUGAR AUTOPREPARACION,HOGAR,C8,Sin definir,S5,Sin definir,P7,"Otras situaciones que faciliten o permitan el crecimiento microbiano o la producción de toxinas, no descrita arriba",No determinado,Domicilio,Diarrea y gastroenteritis de presunto origen infeccioso,A09X,Gastroenteritis y colitis de origen no especificado,Diagnostico inespecifico,"Realizada, se descarta ",NO,,
ANT20170072,2017,48,01-12-2017,25-11-2017,27-11-2017,,,2,1,2,2,Si,117,6,0,5.13,0.00,3,6,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,NO,PESCADOS Y PRODUCTOS DE LA PESCA,Pescados y Mariscos precocidos o cocidos congelados,INSTALACION ELABORACION Y CONSUMO,INSTALACIÓN DESTINADA A LA PREPARACIÓN Y CONSUMO INMEDIATO DE ALIMENTOS,C4,"Obtención, ingestión, de productos crudos o ingredientes contaminados por patógenos provenientes de animales o del medio ambiente",S4,Otras fallas de procesamiento que le permiten al agente sobrevivir no descritas arriba,P2,Inadecuada conservación en frío o en caliente,Manipulación comercial,Establecimiento,"Infección debida a Salmonella, no especificada",A029,Salmonella spp.,diagnostico especifico,"Realizada, se confirma ",Si,Inicio sumario sanitario,con hallazgos sobre requisito normativo
ARA20170026,2017,20,19-05-2017,31-12-1899,31-12-1899,CENTRO DE SALUD FAMILIAR VICTORIA,CENTRO DE SALUD FAMILIAR VICTORIA,0,0,9,9,Si,8,4,0,50.00,0.00,4,4,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SI,SI,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,No identificado,No Identificado,LUGAR AUTOPREPARACION,SIN INFORMACIÓN,C7,"Otra fuente de contaminación, no descrita arriba",-,no informado,-,no informado,Almacenamiento,Domicilio,Diarrea y gastroenteritis de presunto origen infeccioso,A09X,Gastroenteritis y colitis de origen no especificado,Diagnostico inespecifico,"Realizada, se descarta ",NO,,
BIO20170366,2017,41,12-10-2017,31-12-1899,31-12-1899,SAPU-TUCAPEL,SAPU-TUCAPEL,0,0,8,8,Si,0,0,0,0.00,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,SIN INFORMACIÓN,SIN INFORMACIÓN,-,no informado,-,no informado,-,no informado,,NULL,,,Sin determinar,Sin Información Diagnostica,"Realizada, se descarta ",NO,,
ATA20170006,2017,3,17-01-2017,31-12-1899,31-12-1899,CENTRO DE SALUD SALVADOR ALLENDE GOSSENS,CENTRO DE SALUD SALVADOR ALLENDE GOSSENS    ,0,0,3,3,Si,2,2,0,100.00,0.00,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SI,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,PESCADOS Y PRODUCTOS DE LA PESCA,"Moluscos Bivalvos, frescos",LUGAR AUTOPREPARACION,HOGAR,C4,"Obtención, ingestión, de productos crudos o ingredientes contaminados por patógenos provenientes de animales o del medio ambiente",-,no informado,-,no informado,Manipulación doméstica,Domicilio,,,Sin determinar,Sin Información Diagnostica,"Realizada, se descarta ",NO,,
BIO20170337,2017,40,02-10-2017,31-12-1899,31-12-1899,CLÍNICA LOS ANDES CHILLÁN,CLÍNICA LOS ANDES CHILLÁN,0,0,8,8,Si,0,0,0,0.00,0.00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,CARNES Y PRODUCTOS CARNEOS (Incluidas carnes de aves y de caza),"Carne de reses, excepto cerdo",LUGAR AUTOPREPARACION,HOGAR,C8,Sin definir,S5,Sin definir,P7,"Otras situaciones que faciliten o permitan el crecimiento microbiano o la producción de toxinas, no descrita arriba",No determinado,Domicilio,Diarrea y gastroenteritis de presunto origen infeccioso,A09X,Gastroenteritis y colitis de origen no especificado,Diagnostico inespecifico,"Realizada, se descarta ",Si,Acta sin observaciones,Sin hallazgos sobre requisitos normativos
ATA20170003,2017,2,10-01-2017,31-12-1899,31-12-1899,HOSPITAL DR MANUEL MAGALHAES MEDLING (HUASCO),,0,0,3,3,Si,5,5,0,100.00,0.00,3,5,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SI,SI,SI,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,,,SIN INFORMACIÓN,SIN INFORMACIÓN,-,no informado,-,no informado,-,no informado,,NULL,,,Sin determinar,Sin Información Diagnostica,"Realizada, se descarta ",NO,,
